"iso","rcp","ssp","model","period","year_center","TT","flextotal","rawtotal","f2mort","f2total"
"CIV","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,3.04457474974767,4.82725738818704,NA,NA
"CIV","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,4.82766318330712,6.62361892323967,NA,NA
"CIV","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,4.86500621093622,5.06996359080654,NA,NA
"CIV","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,4.4542651616161,2.34775426313523,NA,NA
"CIV","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,4.04590216130072,-0.238737642028704,NA,NA
"CMR","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-1.11154273493348,2.09099649877755,NA,NA
"CMR","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,0.463414436985118,2.10841293138186,NA,NA
"CMR","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,1.15276980975402,0.912132443163021,NA,NA
"CMR","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,1.31637772880691,-1.80647223181859,NA,NA
"CMR","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,1.23911883751949,-4.56093707497008,NA,NA
"COD","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-6.08997325467546,-0.969229110711519,NA,NA
"COD","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-3.25065003700893,-2.8642479484039,NA,NA
"COD","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-2.1242087883652,-4.15289569459372,NA,NA
"COD","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-1.52367784445335,-5.13760475398382,NA,NA
"COD","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-1.33135195957831,-5.61747549474424,20,20.5
"COG","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-11.9938882951906,-1.73979513541111,NA,NA
"COG","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-10.427003140953,-4.19066617803718,NA,NA
"COG","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-9.04195131844969,-6.87652919541861,NA,NA
"COG","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-7.81682971853698,-9.40079441221759,NA,NA
"COG","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-7.09560354242216,-10.8015114451285,NA,NA
"COK","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-13.6592254320625,-3.32644690492482,NA,NA
"COK","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-14.0577223548176,-5.81039940622546,NA,NA
"COK","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-13.4038490726696,-7.00163594147497,NA,NA
"COK","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-12.5502915295922,-5.15715043714297,NA,NA
"COK","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-11.932333023622,-4.0208765585829,NA,NA
"COL","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-16.0237774339483,-5.4106812926738,NA,NA
"COL","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-15.7682699094151,-9.19702396316343,NA,NA
"COL","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-14.4999592437799,-10.4057273144338,NA,NA
"COL","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-13.8083735904281,-9.09998685335496,NA,NA
"COL","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-13.2860423006464,-8.32111306067566,NA,NA
"COM","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-10.5785921309241,-0.121154029669781,NA,NA
